Metodo	CPU
Normal	112966633
Normal	106286974
Normal	104162280
Normal	102171192
Normal	101916806
Normal	102146882
Normal	102476469
Normal	102971418
Normal	103759212
Normal	102810994
Normal	101807534
Normal	105071771
Normal	102784447
Normal	103210402
Normal	101689629
Normal	100131723
Normal	101685433
Normal	103545861
Normal	101885139
Normal	101533004
Normal	101188240
Normal	101792243
Normal	106082012
Normal	101781842
Normal	101254488
Normal	101368774
Normal	100389823
Normal	101120917
Normal	100227486
Normal	101783412
Normal	103376810
Normal	101209003
Normal	101952140
Normal	101706229
Normal	100818317
Normal	100714070
Normal	102378764
Normal	102610123
Normal	102590075
Normal	102523514
Normal	103836241
Normal	102841022
Normal	102029385
Normal	102182876
Normal	105460888
Normal	101610296
Normal	101140759
Normal	101517492
Normal	102089977
Normal	101720057
Normal	101527602
Normal	102213750
Normal	103071605
Normal	102220280
Normal	103029811
Normal	105096509
Normal	104918078
Normal	103058328
Normal	101365445
Normal	101345926
Normal	101184011
Normal	101153875
