Metodo	Tiempo
Normal	112897326
Normal	106235267
Normal	104112055
Normal	102117914
Normal	101866315
Normal	102096807
Normal	102422543
Normal	102920799
Normal	103710045
Normal	102759505
Normal	101758886
Normal	105021112
Normal	102733911
Normal	103161039
Normal	101638469
Normal	100076151
Normal	101636480
Normal	103492387
Normal	101835509
Normal	101482332
Normal	101137044
Normal	101741889
Normal	106030696
Normal	101720002
Normal	101204991
Normal	101318553
Normal	100329370
Normal	101069407
Normal	100126952
Normal	101733504
Normal	103326457
Normal	101159359
Normal	101900462
Normal	101656303
Normal	100767704
Normal	100663493
Normal	102327594
Normal	102559584
Normal	102532607
Normal	102473184
Normal	103785380
Normal	102790749
Normal	101980136
Normal	102134243
Normal	105398617
Normal	101560011
Normal	101091308
Normal	101467130
Normal	102040951
Normal	101669932
Normal	101477295
Normal	102164258
Normal	103019952
Normal	102170741
Normal	102979020
Normal	105046142
Normal	104866451
Normal	103007694
Normal	101314807
Normal	101294970
Normal	101133340
Normal	101082144
